trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 0.95, 'a': 1}",20,11,-33.81330496152962,"{0: 6, 1: 1, 2: 0, 3: 2, 4: 0}",1
2,False,"{'e': 0.8999999999999999, 'a': 1}",20,0,-70.85839946539886,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
3,False,"{'e': 0.8499999999999999, 'a': 1}",30,0,-111.2498505325939,"{0: 16, 1: 4, 2: 9, 3: 1, 4: 0}",0
4,False,"{'e': 0.7999999999999998, 'a': 1}",20,10,5.631415423342199,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
5,False,"{'e': 0.7499999999999998, 'a': 1}",20,0,-92.36163031456888,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
6,False,"{'e': 0.6999999999999997, 'a': 1}",30,0,-117.99183155643435,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
7,False,"{'e': 0.6499999999999997, 'a': 1}",20,5,-71.83160690208737,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 1}",1
8,False,"{'e': 0.5999999999999996, 'a': 1}",20,0,-29.14954564882315,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",1
9,False,"{'e': 0.5499999999999996, 'a': 1}",25,0,-108.75879460140392,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
10,False,"{'e': 0.4999999999999996, 'a': 1}",20,0,-33.338418805750194,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
11,False,"{'e': 0.4499999999999996, 'a': 1}",20,0,-63.35034491111729,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
12,False,"{'e': 0.39999999999999963, 'a': 1}",20,5,-49.44556563603419,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 1}",1
13,False,"{'e': 0.34999999999999964, 'a': 1}",30,18,17.370665744974396,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
14,False,"{'e': 0.29999999999999966, 'a': 1}",20,10,-26.922236920121932,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
15,False,"{'e': 0.24999999999999967, 'a': 1}",25,0,11.247039587705386,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
16,False,"{'e': 0.19999999999999968, 'a': 1}",25,0,-41.38474678824878,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
17,False,"{'e': 0.1499999999999997, 'a': 1}",30,19,21.673114196067925,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'e': 0.09999999999999969, 'a': 1}",25,0,-47.244020426559395,"{0: 22, 1: 0, 2: 0, 3: 2, 4: 1}",0
19,False,"{'e': 0.049999999999999684, 'a': 1}",20,1,30.643700818734622,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'e': -3.191891195797325e-16, 'a': 1}",25,4,21.33101997993628,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
1,True,"{'e': 0, 'a': 0}",25,0,-11.42350280185153,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
2,True,"{'e': 0, 'a': 0}",25,0,29.677557512333053,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'e': 0, 'a': 0}",20,11,14.129252406135699,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'e': 0, 'a': 0}",30,0,-21.988911625399655,"{0: 28, 1: 0, 2: 0, 3: 1, 4: 1}",0
5,True,"{'e': 0, 'a': 0}",20,0,26.221105097617247,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'e': 0, 'a': 0}",20,0,25.487435709046327,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'e': 0, 'a': 0}",20,0,27.971887810913454,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'e': 0, 'a': 0}",35,18,-14.33082839144639,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
9,True,"{'e': 0, 'a': 0}",25,0,31.542633008192123,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'e': 0, 'a': 0}",20,11,15.966358917056871,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
