trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 0.9999875000260416, 'a': 1}",30,0,-186.9945892546482,"{0: 17, 1: 3, 2: 7, 3: 0, 4: 3}",0
2,False,"{'e': 0.9999500004166653, 'a': 1}",20,0,-66.26071845747849,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
3,False,"{'e': 0.9998875021093592, 'a': 1}",35,0,-152.6850639780012,"{0: 21, 1: 7, 2: 4, 3: 1, 4: 2}",0
4,False,"{'e': 0.9998000066665778, 'a': 1}",20,0,-88.88992291510331,"{0: 12, 1: 2, 2: 3, 3: 3, 4: 0}",0
5,False,"{'e': 0.9996875162757026, 'a': 1}",30,0,-222.26064482308377,"{0: 13, 1: 5, 2: 7, 3: 3, 4: 2}",0
6,False,"{'e': 0.9995500337489875, 'a': 1}",25,5,-28.359105922344447,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",1
7,False,"{'e': 0.9993875625234886, 'a': 1}",20,0,-181.92253492633378,"{0: 10, 1: 0, 2: 7, 3: 0, 4: 3}",0
8,False,"{'e': 0.9992001066609779, 'a': 1}",30,0,-156.7069742555809,"{0: 15, 1: 6, 2: 7, 3: 0, 4: 2}",0
9,False,"{'e': 0.9989876708478425, 'a': 1}",25,0,-141.57180584657462,"{0: 13, 1: 5, 2: 5, 3: 0, 4: 2}",0
10,False,"{'e': 0.9987502603949663, 'a': 1}",25,0,-95.31202688171115,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
11,False,"{'e': 0.9984878812375985, 'a': 1}",30,0,-101.64103203296874,"{0: 21, 1: 3, 2: 3, 3: 2, 4: 1}",0
12,False,"{'e': 0.9982005399352042, 'a': 1}",20,0,-73.1954847798291,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
13,False,"{'e': 0.9978882436713011, 'a': 1}",30,0,-88.46437961240912,"{0: 17, 1: 8, 2: 3, 3: 2, 4: 0}",0
14,False,"{'e': 0.9975510002532796, 'a': 1}",20,0,-98.95992540916033,"{0: 13, 1: 3, 2: 0, 3: 3, 4: 1}",0
15,False,"{'e': 0.9971888181122075, 'a': 1}",20,0,4.863403341967096,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
16,False,"{'e': 0.9968017063026194, 'a': 1}",25,0,-34.330896813740964,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
17,False,"{'e': 0.9963896745022904, 'a': 1}",25,3,-44.252602175203364,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 0}",1
18,False,"{'e': 0.9959527330119943, 'a': 1}",20,0,-173.8796954544388,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
19,False,"{'e': 0.9954908927552453, 'a': 1}",20,0,-182.60708316668212,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
20,False,"{'e': 0.9950041652780258, 'a': 1}",30,0,-235.8246955807293,"{0: 17, 1: 4, 2: 3, 3: 2, 4: 4}",0
21,False,"{'e': 0.9944925627484974, 'a': 1}",25,0,-147.3196834999699,"{0: 11, 1: 4, 2: 8, 3: 1, 4: 1}",0
22,False,"{'e': 0.9939560979566968, 'a': 1}",25,0,-139.88501423951,"{0: 15, 1: 0, 2: 8, 3: 0, 4: 2}",0
23,False,"{'e': 0.9933947843142158, 'a': 1}",20,9,-62.578508152700536,"{0: 6, 1: 0, 2: 3, 3: 2, 4: 0}",1
24,False,"{'e': 0.9928086358538663, 'a': 1}",25,5,-71.00660673295205,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",1
25,False,"{'e': 0.992197667229329, 'a': 1}",25,0,-192.42414925855763,"{0: 16, 1: 0, 2: 3, 3: 3, 4: 3}",0
26,False,"{'e': 0.9915618937147881, 'a': 1}",20,0,-144.38404729431636,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
27,False,"{'e': 0.9909013312045479, 'a': 1}",20,0,-118.51014121357483,"{0: 9, 1: 4, 2: 3, 3: 4, 4: 0}",0
28,False,"{'e': 0.9902159962126371, 'a': 1}",30,0,-161.76564162728985,"{0: 18, 1: 2, 2: 7, 3: 1, 4: 2}",0
29,False,"{'e': 0.9895059058723947, 'a': 1}",25,9,-87.97696354577165,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 2}",1
30,False,"{'e': 0.9887710779360422, 'a': 1}",20,0,-125.14912362863696,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
31,False,"{'e': 0.9880115307742399, 'a': 1}",20,0,-164.74403860840556,"{0: 8, 1: 5, 2: 3, 3: 2, 4: 2}",0
32,False,"{'e': 0.9872272833756269, 'a': 1}",30,5,-69.72271853273963,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",1
33,False,"{'e': 0.9864183553463477, 'a': 1}",35,0,-128.83087791595173,"{0: 25, 1: 1, 2: 5, 3: 3, 4: 1}",0
34,False,"{'e': 0.9855847669095608, 'a': 1}",20,0,-58.80658637943804,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
35,False,"{'e': 0.9847265389049334, 'a': 1}",20,0,-147.23496584927142,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
36,False,"{'e': 0.9838436927881214, 'a': 1}",25,17,-17.458524596180993,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
37,False,"{'e': 0.9829362506302315, 'a': 1}",35,0,-226.70178119483674,"{0: 20, 1: 4, 2: 7, 3: 0, 4: 4}",0
38,False,"{'e': 0.9820042351172703, 'a': 1}",20,0,-101.73634993766636,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
39,False,"{'e': 0.9810476695495772, 'a': 1}",25,0,-92.72889703955991,"{0: 14, 1: 6, 2: 4, 3: 0, 4: 1}",0
40,False,"{'e': 0.9800665778412416, 'a': 1}",20,0,-91.08373912112492,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
41,False,"{'e': 0.9790609845195051, 'a': 1}",25,0,-133.8889653682134,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
42,False,"{'e': 0.9780309147241483, 'a': 1}",25,5,-48.1762133125259,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",1
43,False,"{'e': 0.9769763942068623, 'a': 1}",20,0,-88.37487196760445,"{0: 9, 1: 6, 2: 3, 3: 2, 4: 0}",0
44,False,"{'e': 0.9758974493306055, 'a': 1}",20,0,-6.177015973368422,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
45,False,"{'e': 0.9747941070689433, 'a': 1}",20,0,-39.9839104827478,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
46,False,"{'e': 0.9736663950053749, 'a': 1}",20,0,-82.44800390180902,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
47,False,"{'e': 0.972514341332643, 'a': 1}",25,0,-42.37662589857202,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
48,False,"{'e': 0.9713379748520296, 'a': 1}",20,0,-126.48310750511858,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
49,False,"{'e': 0.9701373249726354, 'a': 1}",30,9,-140.7958045234328,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 2}",1
50,False,"{'e': 0.9689124217106447, 'a': 1}",20,0,-61.801280648974824,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
51,False,"{'e': 0.9676632956885756, 'a': 1}",20,0,-121.71608855707153,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
52,False,"{'e': 0.9663899781345132, 'a': 1}",20,2,-33.387505532859564,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 0}",1
53,False,"{'e': 0.9650925008813303, 'a': 1}",20,5,-115.75736428999382,"{0: 5, 1: 2, 2: 5, 3: 3, 4: 0}",1
54,False,"{'e': 0.9637708963658905, 'a': 1}",20,0,-51.543455942179556,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
55,False,"{'e': 0.962425197628238, 'a': 1}",20,0,-82.67379415913743,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
56,False,"{'e': 0.9610554383107709, 'a': 1}",25,0,-155.84042489212456,"{0: 14, 1: 4, 2: 3, 3: 2, 4: 2}",0
57,False,"{'e': 0.9596616526574011, 'a': 1}",20,0,-180.66453755633634,"{0: 8, 1: 4, 2: 3, 3: 3, 4: 2}",0
58,False,"{'e': 0.9582438755126972, 'a': 1}",30,0,-181.75551737792586,"{0: 18, 1: 2, 2: 7, 3: 0, 4: 3}",0
59,False,"{'e': 0.9568021423210139, 'a': 1}",20,0,-58.85200140807777,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
60,False,"{'e': 0.955336489125606, 'a': 1}",20,0,-37.28725155403819,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
61,False,"{'e': 0.9538469525677271, 'a': 1}",30,0,-233.7794634585823,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 5}",0
62,False,"{'e': 0.9523335698857134, 'a': 1}",30,8,-148.91063458420254,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 3}",1
63,False,"{'e': 0.9507963789140532, 'a': 1}",25,0,-135.08190878063365,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
64,False,"{'e': 0.9492354180824408, 'a': 1}",20,0,-45.70886623428627,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
65,False,"{'e': 0.9476507264148157, 'a': 1}",20,0,-55.73122669364088,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",1
66,False,"{'e': 0.946042343528387, 'a': 1}",25,0,-169.62584124393652,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 2}",0
67,False,"{'e': 0.944410309632643, 'a': 1}",20,0,-149.15934133433575,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
68,False,"{'e': 0.9427546655283462, 'a': 1}",30,0,-243.16537835501114,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 5}",0
69,False,"{'e': 0.941075452606513, 'a': 1}",20,0,-46.34939423767243,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
70,False,"{'e': 0.9393727128473789, 'a': 1}",30,0,-124.50274137925155,"{0: 16, 1: 6, 2: 6, 3: 1, 4: 1}",0
71,False,"{'e': 0.9376464888193493, 'a': 1}",30,16,-74.78735412001086,"{0: 8, 1: 1, 2: 4, 3: 0, 4: 1}",1
72,False,"{'e': 0.9358968236779348, 'a': 1}",20,0,-140.58535445895657,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
73,False,"{'e': 0.9341237611646731, 'a': 1}",25,0,-78.15697892768036,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
74,False,"{'e': 0.9323273456060345, 'a': 1}",30,0,-147.73568789531677,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
75,False,"{'e': 0.9305076219123143, 'a': 1}",20,0,-168.49023307776977,"{0: 9, 1: 0, 2: 9, 3: 0, 4: 2}",0
76,False,"{'e': 0.9286646355765102, 'a': 1}",25,12,-28.222846913505506,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 0}",1
77,False,"{'e': 0.9267984326731847, 'a': 1}",20,0,-88.91110709502624,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
78,False,"{'e': 0.9249090598573131, 'a': 1}",20,0,-118.33426732537563,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
79,False,"{'e': 0.9229965643631173, 'a': 1}",25,0,-131.13388035950464,"{0: 17, 1: 4, 2: 1, 3: 0, 4: 3}",0
80,False,"{'e': 0.9210609940028851, 'a': 1}",30,0,-43.83849339190111,"{0: 25, 1: 2, 2: 2, 3: 0, 4: 1}",0
81,False,"{'e': 0.9191023971657747, 'a': 1}",30,0,-110.14026770406905,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
82,False,"{'e': 0.9171208228166051, 'a': 1}",20,0,-160.1670261607334,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 3}",0
83,False,"{'e': 0.9151163204946318, 'a': 1}",30,0,-85.50205210361828,"{0: 23, 1: 4, 2: 1, 3: 0, 4: 2}",0
