trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 1.0, 'a': 0.5}",25,-100,-739.6142416157214,"{0: 71, 1: 15, 2: 24, 3: 4, 4: 11}",0
2,False,"{'e': 1.0, 'a': 0.5}",30,-100,-430.66131959902555,"{0: 80, 1: 18, 2: 23, 3: 7, 4: 2}",0
3,False,"{'e': 1.0, 'a': 0.5}",25,-3,-282.9989133637127,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 6}",0
4,False,"{'e': 1.0, 'a': 0.5}",20,-13,-131.24176345291283,"{0: 17, 1: 6, 2: 9, 3: 0, 4: 1}",0
5,False,"{'e': 1.0, 'a': 0.5}",25,-69,-510.38053184667086,"{0: 54, 1: 11, 2: 17, 3: 6, 4: 6}",0
6,False,"{'e': 1.0, 'a': 0.5}",20,-50,-295.88414054117465,"{0: 43, 1: 8, 2: 14, 3: 1, 4: 4}",0
7,False,"{'e': 1.0, 'a': 0.5}",25,-58,-386.6493931850232,"{0: 45, 1: 13, 2: 18, 3: 4, 4: 3}",0
8,False,"{'e': 1.0, 'a': 0.5}",30,-38,-185.44903722024284,"{0: 47, 1: 9, 2: 8, 3: 2, 4: 2}",0
9,False,"{'e': 1.0, 'a': 0.5}",25,-100,-587.6915144937943,"{0: 83, 1: 11, 2: 18, 3: 3, 4: 10}",0
10,False,"{'e': 1.0, 'a': 0.5}",20,-38,-264.7089048416465,"{0: 36, 1: 9, 2: 5, 3: 5, 4: 3}",0
11,False,"{'e': 1.0, 'a': 0.5}",20,-89,-563.9431866969454,"{0: 60, 1: 19, 2: 20, 3: 3, 4: 7}",0
12,False,"{'e': 1.0, 'a': 0.5}",20,-31,-242.44116393276215,"{0: 30, 1: 5, 2: 12, 3: 1, 4: 3}",0
13,False,"{'e': 1.0, 'a': 0.5}",30,-60,-402.8763302010757,"{0: 60, 1: 8, 2: 12, 3: 3, 4: 7}",0
14,False,"{'e': 1.0, 'a': 0.5}",25,-100,-769.7776015023517,"{0: 71, 1: 12, 2: 26, 3: 5, 4: 11}",0
15,False,"{'e': 1.0, 'a': 0.5}",20,-60,-251.9391974010461,"{0: 59, 1: 6, 2: 7, 3: 4, 4: 4}",0
16,False,"{'e': 1.0, 'a': 0.5}",20,-100,-758.2467344066215,"{0: 65, 1: 14, 2: 26, 3: 4, 4: 11}",0
17,False,"{'e': 1.0, 'a': 0.5}",30,1,-245.7514362148068,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 5}",1
18,False,"{'e': 1.0, 'a': 0.5}",25,-100,-663.6667268954911,"{0: 76, 1: 15, 2: 18, 3: 7, 4: 9}",0
19,False,"{'e': 1.0, 'a': 0.5}",25,-29,-276.56851899771266,"{0: 32, 1: 6, 2: 8, 3: 5, 4: 3}",0
20,False,"{'e': 1.0, 'a': 0.5}",25,-92,-506.475404871387,"{0: 73, 1: 16, 2: 16, 3: 5, 4: 7}",0
1,True,"{'e': 1.0, 'a': 0.5}",25,-77,-494.117123858954,"{0: 65, 1: 8, 2: 17, 3: 6, 4: 6}",0
2,True,"{'e': 1.0, 'a': 0.5}",20,-100,-609.5079565771973,"{0: 73, 1: 8, 2: 25, 3: 7, 4: 7}",0
3,True,"{'e': 1.0, 'a': 0.5}",30,-16,-275.5753814171687,"{0: 24, 1: 8, 2: 7, 3: 4, 4: 3}",0
4,True,"{'e': 1.0, 'a': 0.5}",20,-42,-459.22199840860947,"{0: 31, 1: 6, 2: 13, 3: 7, 4: 5}",0
5,True,"{'e': 1.0, 'a': 0.5}",20,-20,-199.09597352479452,"{0: 27, 1: 3, 2: 6, 3: 0, 4: 4}",0
6,True,"{'e': 1.0, 'a': 0.5}",20,-8,-84.08123879841918,"{0: 20, 1: 4, 2: 1, 3: 2, 4: 1}",0
7,True,"{'e': 1.0, 'a': 0.5}",25,-67,-466.50434869681243,"{0: 58, 1: 8, 2: 16, 3: 3, 4: 7}",0
8,True,"{'e': 1.0, 'a': 0.5}",20,-41,-160.07600632210168,"{0: 45, 1: 2, 2: 10, 3: 2, 4: 2}",0
9,True,"{'e': 1.0, 'a': 0.5}",20,-100,-720.1262238432442,"{0: 65, 1: 17, 2: 24, 3: 4, 4: 10}",0
10,True,"{'e': 1.0, 'a': 0.5}",30,-49,-376.66740591092804,"{0: 45, 1: 11, 2: 15, 3: 4, 4: 4}",0
